#####       component_id	component_name
    SB10250_component_2a	J083620-003722
    SB10250_component_3a	J083831-013405
    SB10250_component_6b	J083949+010437
    SB10250_component_6a	J083949+010428
    SB10250_component_9b	J085536+031217
    SB10250_component_9a	J085537+031215
   SB10250_component_10c	J085227+004232
   SB10250_component_10b	J085228+004241
   SB10250_component_10a	J085227+004226
   SB10250_component_42a	J085408+021317
   SB10250_component_46a	J083814-002600
   SB10250_component_50a	J083318+035033
   SB10250_component_51a	J085430-005703
   SB10250_component_52a	J084543+005738
   SB10250_component_58a	J085314+021455
  SB10250_component_122a	J083811-015933
  SB10250_component_123a	J085819+014942
  SB10250_component_141b	J083823+014955
  SB10250_component_141a	J083822+015020
  SB10250_component_181a	J084553-024058
  SB10250_component_190a	J084709+005500
  SB10250_component_191a	J083834+000209
  SB10250_component_204b	J083822+023500
  SB10250_component_204a	J083819+023525
  SB10250_component_205a	J085036-001523
  SB10250_component_211b	J085202+035224
  SB10250_component_211a	J085202+035209
  SB10250_component_223a	J083340+011430
  SB10250_component_256a	J084615+021141
  SB10250_component_259a	J085920+004714
  SB10250_component_272a	J085714+021020
  SB10250_component_304a	J084700+003717
  SB10250_component_363a	J085417+002922
  SB10250_component_376a	J090006+021538
  SB10250_component_382a	J085657-010717
  SB10250_component_387a	J084002+003015
  SB10250_component_391a	J083446+021000
  SB10250_component_432a	J083742+000048
  SB10250_component_492a	J085834+005000
  SB10250_component_498a	J085048+040647
  SB10250_component_515a	J084245-000934
  SB10250_component_531a	J084428+014819
  SB10250_component_572a	J083420+013225
  SB10250_component_604b	J084426+022808
  SB10250_component_604a	J084427+022752
  SB10250_component_612a	J085455-000629
  SB10250_component_635a	J084225+025254
  SB10250_component_642a	J084620+020229
  SB10250_component_652b	J084826+000138
  SB10250_component_652a	J084827+000146
  SB10250_component_656a	J084408-003518
  SB10250_component_695a	J085619+023733
  SB10250_component_699a	J084026+000008
  SB10250_component_701a	J090004-002546
  SB10250_component_730a	J085058+011003
  SB10250_component_731a	J084939-005118
  SB10250_component_740a	J083400-001345
  SB10250_component_747a	J085614+012848
  SB10250_component_759a	J083626+034055
  SB10250_component_816a	J083929-005828
  SB10250_component_820a	J090002-003337
  SB10250_component_833a	J084253+031429
  SB10250_component_839a	J083737+010820
  SB10250_component_875a	J083710+025048
  SB10250_component_883a	J083514+001615
  SB10250_component_910a	J084700+021805
  SB10250_component_930a	J085205-004214
  SB10250_component_940a	J084505+041545
  SB10250_component_945a	J084927+003057
  SB10250_component_955a	J085311+041119
  SB10250_component_956a	J083220+030049
  SB10250_component_957a	J085206+011504
 SB10250_component_1003a	J085928-004747
 SB10250_component_1030a	J084453-004207
